stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
106,동해,2011-02-01,3.0,-0.5,617.0,7.3,1337,,,,,,,12.2,230.0,142.0,6.6,250.0,142.0,2.8,2420,180.0,-8.9,26.0,1109.0,41.8,3.2,1016.6,1023.0,1057,1019.2,21,1021.5,10.3,9.6,,,,,,,,,0.3,0.0,0.6,-5.6,,,,,,,,,,,,,,
106,동해,2011-02-02,4.3,-0.3,101.0,8.9,1135,,,,,,,5.4,180.0,639.0,3.3,230.0,33.0,1.8,1581,200.0,-9.1,18.0,1042.0,37.5,3.1,1015.5,1021.5,0,1019.0,1431,1020.4,10.4,7.8,,,,,,,,,3.1,0.0,1.5,-5.2,,,,,,,,,,,,,,
106,동해,2011-02-03,5.7,2.2,455.0,10.2,1225,,,,,,,10.0,230.0,1504.0,5.5,250.0,1511.0,2.4,2110,200.0,-10.8,12.0,1258.0,30.8,2.7,1014.7,1021.1,858,1017.8,1503,1019.6,10.4,8.6,,,,,,,,,0.0,0.0,0.8,-5.4,,,,,,,,,,,,,{연무}1630-{연무}{강도0}1800-{연무}{강도0}2100-{연무}{강도0}2400-,
106,동해,2011-02-04,5.5,1.6,304.0,10.0,1612,,,,,,,8.5,290.0,2147.0,5.1,250.0,2156.0,2.3,2017,200.0,-7.7,20.0,1623.0,39.0,3.5,1012.4,1019.3,136,1014.7,1546,1017.3,10.4,6.0,,,,,,,,,5.4,0.9,1.3,-5.6,,,,,,,,,,,,,-{연무}-{연무}{강도0}0300-{연무}{강도0}0600-{연무}{강도0}0900-{연무}{강도0}1200-{연무}{강도0}1500-{연무}{강도0}1800-{연무}{강도0}2100-{연무}{강도0}2400-,
106,동해,2011-02-05,3.0,-0.3,2114.0,5.7,1325,,,,,,,8.5,20.0,1215.0,5.8,360.0,1216.0,2.7,2300,360.0,-4.7,27.0,0.0,58.5,4.4,1014.9,1022.8,1039,1017.1,0,1019.9,10.5,9.1,,,,,,,,,2.1,0.0,1.9,-5.1,,,,,,,,,,,,,-{연무}-{연무}{강도0}0300-{연무}{강도0}0600-{연무}{강도0}0900-{연무}{강도0}1200-{연무}{강도0}1500-{연무}{강도0}1800-{연무}{강도0}2100-{연무}{강도0}2400-,
106,동해,2011-02-06,5.5,0.4,130.0,10.1,1325,,,,,,,11.5,250.0,1924.0,6.5,250.0,2007.0,2.7,2355,250.0,-7.7,21.0,1142.0,39.3,3.5,1008.9,1017.4,0,1011.3,1436,1013.8,10.5,4.4,,,,,,,,,2.9,0.8,1.2,-3.9,,,,,,,,,,,,,-{연무}-{연무}{강도0}0300-{연무}{강도0}0600-{연무}{강도0}0900-{연무}{강도0}1200-{연무}{강도0}1500-{연무}{강도0}1800-{연무}{강도0}2100-{연무}{강도0}2400-,
106,동해,2011-02-07,3.5,0.0,756.0,6.7,1349,,,,,,,8.0,290.0,29.0,4.4,270.0,35.0,2.5,2191,270.0,-7.8,30.0,1003.0,43.4,3.4,1011.5,1019.7,954,1013.0,2352,1016.4,10.5,7.3,,,,,,,,,5.3,2.5,1.9,-4.4,,,,,,,,,,,,,-{연무}-{연무}{강도0}0300-{연무}{강도0}0600-{연무}{강도0}0900-0930.,
106,동해,2011-02-08,3.0,0.5,155.0,4.8,1217,,,,,,,13.0,340.0,1445.0,7.6,340.0,1517.0,3.2,2792,340.0,-4.0,43.0,419.0,60.8,4.6,1005.9,1013.0,0,1008.0,1333,1010.8,10.6,3.2,,,,,,,,,8.6,4.1,2.3,-2.6,,,,,,,,,,,,,{연무}0630-{연무}{강도0}0900-1020.,
106,동해,2011-02-09,1.3,0.0,2400.0,3.4,942,,,,,,,12.5,340.0,1527.0,6.9,340.0,1521.0,3.5,2989,320.0,-3.6,57.0,1943.0,69.9,4.7,1011.3,1020.6,2310,1011.6,39,1016.3,10.6,2.6,,,,,,,,,7.9,7.4,1.5,-0.9,,,,,,,,,,,,,,
106,동해,2011-02-10,0.1,-1.6,353.0,1.5,1352,,,,,6.42,0.0,5.9,290.0,2245.0,3.6,340.0,959.0,1.8,1595,340.0,-3.7,61.0,525.0,75.9,4.7,1015.9,1022.4,906,1019.8,1447,1020.9,10.6,0.0,,,,,,,,,9.4,6.4,1.1,-4.8,,,,,,,,,,,,,{눈}0725-{눈}{강도0}0900-0950. {눈}1140-{눈}{강도0}1200-1240. {눈}1615-{눈}{강도0}1800-1915. {박무}1935-{박무}{강도0}2100-2150.,
